price,district,rooms,floor,floors,area,type,cond,walls,desc
25000.0,Suvorovsky,1,6,9.0,30.0,Special project,Residential clean,Panel,"One-room apartment with cosmetic repairs. Reinforced-plastic windows are installed, the balcony is glazed, the bathroom is tiled. Good location of the house. School is within walking distance. Kindergarten. a park. "
30500.0,Suvorovsky,1,11,25.0,48.0,Special project,After builders,Monolith,"Apartment in the 54th pearl with stunning views of the sea and the city center apartment 48sq.m. The infrastructure of the district is developed: a school, a kindergarten. shopping center. "
250000.0,Primorsky,4,15,24.0,152.0,Special project,After builders,Brick,"LCD ""19 Pearl"" Sea view! The house is leased! French Boulevard. Arcadia, sea view from all windows! Modern layout. Big kitchen. Loggia. In the hallway there is space for a built-in wardrobe. Marble front doors. High-speed elevators. Underground parking. Landscaped territory. Convenient transport interchange. Developed infrastructure. 5 minutes walk to the sea. There is an author's design project as a gift. "
55000.0,Primorsky,2,1,1.0,50.0,Old fund,After overhaul,Shell rock,"Apartment in the city center, it is possible for commerce (it is possible to make an entrance from the facade) 1st floor. 50m2. Gas water heater. The rooms are adjacent. Redecorating. Storage room in the yard as a gift. "
39000.0,Malinovsky,3,3,9.0,65.0,Czech,After makeup,Panel,"Renovated, fitted kitchen, cladding, new lift. "
46000.0,Primorsky,1,9,24.0,40.0,New ,Renovation,Monolith,"Beautiful, stylish apartment in the seaside area, 34 Zhemchuzhin, Baseinaya street. A high-quality repair has been completed, there is the necessary furniture and household appliances, all conditions for a comfortable life "
9500.0,Suvorovsky,1,5,5.0,17.0,Special project,Renovation,Block-brick,"A cozy room in a communal apartment with a total area of 17 sq.m. living room 12 sq.m. located in the center of the village of Kotovsky. Developed infrastructure, within walking distance of Supermarkets, Schools, Kindergartens, various Shops, Markets. Decent neighbors. In the communal apartment, the water supply, sewerage and electrics have been changed. There is a boiler, a bathroom is tiled with modern tiles, its place in the kitchen. "
21500.0,Suvorovsky,1,10,19.0,51.0,Special project,After builders,Block-brick,
30000.0,Kievsky,1,18,19.0,40.0,New ,After builders,Monolith,"56 Pearl. The house is leased! 1 front door 18 floor 39.90 m2. A kopeck piece has already been re-planned in euro. Windows overlook the subway, epicenter "
21500.0,Suvorovsky,1,15,19.0,52.0,Special project,After builders,Block-brick,
60000.0,Kievsky,3,5,16.0,72.0,Cellular,Renovation,Monolith,"Fully renovated, built-in kitchen, appliances, furniture, alarm, 2 air conditioners, insulated. Convenient transportation, good area. "
58000.0,Malinovsky,2,5,16.0,89.0,New ,After builders,Brick,"HOUSE RENT !!! Double-sided, yard "
65000.0,Primorsky,1,22,24.0,48.0,New ,Renovation,Brick,"LCD Orange, Srednefontanskaya St. Wonderful apartment for sale with SEA VIEW! On a closed guarded territory. Apartment of 48 square meters on the 22nd floor. The apartment has a wonderful renovation. German stretch ceilings, German wallpaper, underfloor heating in the bathroom (20 years warranty). All furniture is made to order! Smart Home system. Sold with furniture and appliances. "
39000.0,Primorsky,1,18,25.0,37.0,New ,After builders,Monolith,36 Pearl. Genuezskaya street. The apartment has been partially redeveloped. Materials for rough work were delivered. There is a design project.
35000.0,Malinovsky,3,3,5.0,52.0,Kharkiv,Residential clean,Panel,"Living condition, cladding, appliances, furniture, renovated front door. Near transport, shops, market. "
41000.0,Primorsky,1,2,26.0,26.0,New ,Renovation,Monolith,"Pedagogicheskaya st. / 6th st. B. Fontana residential complex ""Limnos"" 1-room apartment, 2/26, 26m2, new habitable house, people live, apartment renovated and furnished, large balcony, great area, near the sea, all infrastructure nearby. for rent super. "
52000.0,Primorsky,1,16,24.0,46.5,New ,After builders,Monolith,"Lcd ""4 seasons"" 1-room apartment, 46.5m2, 16/24, condition from builders, open plan, panoramic windows, large balcony, courtyard, side sea view. On the floor there is a storage room of 6 m2. The house is equipped with underground parking, sports and playgrounds, a closed and guarded courtyard system, a boiler house. Lovely area, next to two parks, near the sea. Price with storage room and all expenses. "
31000.0,Suvorovsky,2,13,14.0,50.0,Special project,After makeup,Brick,Apartment with two separate rooms. Installed plastic windows. The bathroom is tiled. The infrastructure of the district is developed.
46000.0,Primorsky,1,3,3.0,37.0,Belgian,Renovation,Brick,"Dedicated commune, block (all its own). Fresh renovation. The entire building remains. Clean front, marble staircase. The apartment is front. "
39000.0,Malinovsky,2,1,5.0,60.0,Khrushchevka,Residential clean,Block-brick,"Living condition, 2 legalized balconies with basements, "
35000.0,Kievsky,1,3,9.0,37.0,Czech,Residential clean,Brick,"Living condition, "
32000.0,Kievsky,1,8,10.0,35.0,Special project,Residential clean,Panel,"Living condition, furniture, appliances, new elevator. "
33900.0,Kievsky,1,10,10.0,25.0,Special project,Renovation,Brick,"LCD Bastma. The house is located in the back of the block, away from the noise of the roads. Green courtyard with a playground. There is a place to park your car. The apartment is completely renovated. The windows offer a beautiful view of the private sector. Sold furnished. Come in and live! "
27000.0,Malinovsky,2,6,9.0,35.0,Special project,Residential clean,Brick,"Residential condition, cladding "
75000.0,Primorsky,2,4,10.0,60.0,New ,Renovation,Brick,"Lcd Cozy Dvorik, with furniture and appliances, air conditioning, TV, dishwasher, washing machine, TV, and much more, closed courtyard, in the courtyard of the camera, at a distance of 100 m from a school and a kindergarten. 150 m to a closed car park. In a three-minute walk there is a park area (square of cosmonauts, pump room). Very convenient transport interchange. "
25200.0,Malinovsky,1,2,5.0,32.0,Khrushchevka,After makeup,Block-brick,"After repair, new pipes, igos. "
80000.0,Kievsky,3,2,3.0,81.1,New ,Renovation,Brick,"Spacious 3-room apartment in a new closed-type small apartment building. Red effective brick. 2 bedrooms 13 m and 11 m. Living room 21 m. Kitchen 14 m. Terrace-balcony 18 m. Own individual heating. Renovation 2016. Kitchen furniture and built-in appliances, armored door, all metering devices "
110000.0,Kievsky,3,6,6.0,230.2,Special project,Renovation,Monolith,"Large, spacious apartment with a major overhaul in the residential complex ""Strekoza"" (Tavria-V Vuzovsky district). 120 sq.m. - 1 level and an attic as a gift. "
24400.0,Suvorovsky,2,20,23.0,40.0,Special project,After builders,Monolith,"One-bedroom apartment near the sea in the residential complex Luzanovsky Park. Monolithic autonomous house. The apartment is in a condition from the builders for final finishing. Perfect screed. Ceiling height 2.8 m, metering devices, MPO. Developed infrastructure. Sea. Ideal for living and for rent. Excellent transport interchange "
33500.0,Malinovsky,2,5,5.0,47.0,Moscow,Residential clean,Block-brick,"Cooperative house, living condition, free, IGO (new), excellent area, good transport interchange, near the bazaar. "
35000.0,Suvorovsky,2,7,9.0,49.0,Special project,Renovation,Block-brick,"Glazed balcony (metal-plastic). Separate bathroom. The apartment is bright and comfortable. Reinforced-plastic windows, laminated flooring. Clean entrance. Cozy courtyard. Near the Crimean boulevard, park. The sea is close. Well-developed infrastructure: there are 2 schools nearby, a kindergarten in the courtyard, public transport stops, a stadium at home, an alley for walks "
165000.0,Primorsky,2,12,13.0,107.0,New ,After builders,Monolith,"New rented house, the area of the Musical Comedy Theater, very stylish. An open-plan apartment for creative imaginations. "
50000.0,Primorsky,2,1,5.0,60.6,New ,After builders,Aerated concrete,"New small apartment building in the resort area. Quiet place. The House Is Rented, Certificate Of Ownership. 2-circuit boiler, panoramic windows, elevators, good windows, the house is insulated. 0% commission. "
600000.0,Primorsky,3,22,23.0,200.0,New ,Author's design,Monolith,"2-level penthouse with panoramic sea views, author's design in a Scandinavian style by a Danish architect. All brands (materials, furniture, intelligent electrical installation, etc.), underfloor heating, 2 balconies and a large terrace. Hour security, children's and sports grounds, shops. Bargain. "
39000.0,Suvorovsky,3,3,9.0,66.0,Czech,After overhaul,Panel,"The bathroom is tiled, the balcony and the loggia are glazed and sheathed with wooden clapboard, the apartment is sold with all furniture and household appliances, the apartment is in very good condition "
19500.0,Primorsky,1,2,2.0,30.0,Old fund,Residential clean,Shell rock,"PRICE WITH DECORATION !!! Apartment in a solid house, living condition, all with windows, AGV, column. The apartment can be re-planned by highlighting the beautiful bathroom. Well-kept entrance with a painting on the wall, everything is locked with a code (courtyard, entrance). The common veranda has its own place for a locker. Everything is clean and decent. Near supermarket, within walking distance of Privoz, railway station. Ideal for rent. the apartment is free, the keys are in the office. "
35500.0,Malinovsky,2,2,3.0,45.0,Old fund,After makeup,Shell rock,"Renovated, modern cladding, AGV, furniture. "
57000.0,Primorsky,2,3,6.0,60.14,New ,After builders,Foam concrete,"New rented house of VIP - level in a quiet resort location. Beautiful architecture, decoration, balconies with forged gratings, 2-circuit gas boiler. Elevator. Large adjoining territory. Parking at the ""feet"" of the house. Landscape. The house is leased. "
28500.0,Malinovsky,1,4,5.0,32.0,Khrushchevka,After overhaul,Block-brick,"IGO,. New interior doors have been installed. The apartment has a new built-in kitchen, a refrigerator (still under the Comfy guarantee), a Zanussi washing machine, an extractor hood, a gas hob, a large wardrobe on the entire wall in the room, a new boiler was installed in the bathroom a month ago (Epicenter warranty). The apartment is warm, not angular. "
78000.0,Primorsky,1,10,25.0,40.0,New ,Renovation,Brick,"45 Pearl, renovated apartment in an elite area in the center of Arcadia! Sea view. With developed infrastructure, close to beaches, restaurants, cinemas and entertainment centers, a protected area, playgrounds, fountains and recreation areas "
33000.0,Primorsky,1,3,8.0,36.0,Special project,After builders,Monolith,"1-room studio apartment in the city center. LCD ""Apart Royal"". New modern small apartment house of comfort class. The apartment is ready for renovation, water supply, sewerage system, heating, lead-in power cable. Separate ventilation ducts for the kitchen and bathroom. Water and electricity meters are installed in the corridor. "
58500.0,Primorsky,1,3,22.0,49.0,New ,Renovation,Monolith,"Zvezdny Gorodok residential complex. Modern residential complex. Closed area. 3rd floor, courtyard view. Renovated apartment, total area 49.2 meters, kitchen 17.6 meters. The apartment is fully equipped. There is a storage room. "
34000.0,Malinovsky,1,8,12.0,41.0,New ,After builders,Monolith,"The house is located in a closed guarded area. Own parking and parking! Apartment area: Total - according to the project 36.1 sq.m, according to the acceptance certificate - 39.1, in fact about 41. Heating from AGV! The apartment is for sale with a Bosh boiler, a gas meter and a project! Floor screed, under the laminate the walls are plastered with gypsum plaster, ready for wallpaper! Energy-saving windows, wall thickness - 40 cm. At a distance of 1.5 blocks - Gorky Park "
39000.0,Suvorovsky,2,8,9.0,45.0,Kharkiv,Renovation,Panel,"The apartment is after a major overhaul, new plumbing, changed the wiring. Metal-plastic glazing everywhere (6-chamber windows). Laminate flooring in the rooms, tiles in the kitchen, hallway and bathroom. New carpentry. The apartment is very warm. The windows are facing south. Front after renovation, windows were replaced with metal-plastic ones. A heat meter is installed on the house. Excellent location, excellent transport interchange. There is everything nearby: kindergartens, schools, markets, supermarkets, sports and playgrounds. "
185000.0,Primorsky,3,10,11.0,113.0,New ,Renovation,Brick,"A house made of red brick, located on the first line from the sea, on the territory of the Institute. Filatov. In the immediate vicinity of the park and sanatoriums. Excellent layout: 3 rooms, living room and kitchen-dining room. There is a main bathroom with a bath and a toilet. Furnished, equipped with appliances (refrigerator, stove, air conditioners, etc.). Private parking space. There is a playground, security, video control, an OTIS elevator, its own boiler room. "
40000.0,Primorsky,1,5,25.0,41.0,New ,After builders,Monolith,"Very beautiful, bright apartment in a pearl town near the sea. Near Arcadia, Health Path. Sea view from both sides + green courtyard with fountains. Near the green park Yunost. There is a possibility of hiking to the sea. In the yard there are green spaces and beautiful fountains. "
72000.0,Kievsky,3,1,6.0,84.0,New ,After builders,Brick,"Karkashadze's houses in Sauvignon. Red brick, 2-circuit boiler. Condition from builders. A whole town - more than 20 houses. Excellent building quality. Apartment from the owner. "
30000.0,Malinovsky,1,1,5.0,33.0,Khrushchevka,After overhaul,Blocky,Newly renovated apartment. Convenient transport interchange. In the same house there are already similar buildings for business. There is also the possibility of expanding the area.
17000.0,Suvorovsky,1,5,5.0,23.0,Guest,Need. in cosm. renovation,Panel,School is within walking distance. Kindergarten.
28500.0,Kievsky,1,10,17.0,36.0,New ,Renovation,Brick,"LCD Marshal City. Renovated apartment, very warm and quiet. Panoramic glazing in the room and on the loggia with double-glazed windows Rehau. Sea side, sea view. The renovation is 80% done: the c / a is tiled with modern tiles, a bathtub and an Atlantic 80 liter boiler with dry tenon, stretch ceilings and high-quality linoleum on the floor. It remains only to glue the wallpaper and install the interior doors. 24-hour security and video surveillance in the complex. The Internet and digital TV are installed, an outlet for an air conditioner. "
52000.0,Malinovsky,4,4,5.0,65.0,Khrushchevka,After overhaul,Panel,"4-room apartment redesigned into a kitchen-living room 18m and 3 rooms. Overhaul, heated floors. Garage in the yard, the apartment is for sale with furniture and appliances. In the courtyard there is a school, kindergarten, playground, shop. Good transport interchange. "
53000.0,Kievsky,2,2,11.0,70.0,New ,After builders,Brick,
43000.0,Suvorovsky,3,2,5.0,82.0,Moscow,Renovation,Block-brick,"Renovated apartment, huge studio kitchen, separate rooms, second row of houses. The apartment is very warm and very nice. The repair was done of a very high quality, everything literally changed (wiring, sewage). The walls were plastered under the egg. Armored door, very beautiful wooden interior doors. In general, everything was done beautifully and from high quality materials. The apartment faces two sides. "
44000.0,Malinovsky,1,6,22.0,40.0,New ,Renovation,Brick,"Residential complex Balkovsky. New house, inhabited. Modern renovation has been done. Furniture and appliances remain. Internet connected, WIFI. The apartment is warm, bright and comfortable. There are heat meters. The house has 3 elevators. Protected area. Good transport interchange. Near supermarkets Fozzy, ATB, Tavria V. "
35000.0,Kievsky,1,10,21.0,57.0,New ,After builders,Brick,"Completed screed, condition from the builders. residential building, leased, 5 minutes from the sea. Autonomous gas boiler room, passenger and freight elevators of ""Otis"" company, closed guarded adjoining territory, underground parking. In the house there is a supermarket ""Santim"", a bank branch, a pharmacy. Near school and kindergarten. "
41700.0,Primorsky,1,22,24.0,47.0,New ,After builders,Brick,LCD Orange on Srednefontanskaya. Condition from builders. Apartment area - 46.5 m2 + 5 m2 balcony. Smart Home system. The balcony can be attached and glazed. 22nd floor. Great views of the city. The apartment has the correct layout. The house was commissioned and occupied in 2017. Closed guarded territory with a children's and sports ground. The yard is without cars. The house has underground parking.
62000.0,Primorsky,4,2,9.0,80.0,Special project,Need. in cap. renovation,Brick,"Brick house, condominium. Good transport interchange. Near a playground, park, school, shops. "
40000.0,Primorsky,2,1,24.0,60.0,New ,After builders,Monolith,"New home 2018. 34th pearl. Property rights. Separate rooms, loggia 3.5m. There is a parking lot on the 1st floor of the pearl "
100000.0,Primorsky,3,4,5.0,86.8,Special project,Renovation,Brick,"Apartment in a new building with a major overhaul. Built-in furniture remains (by agreement). New plumbing. Double-glazed windows, two-sided apartment, there is a loggia + balcony. Clean entrance. Built-in furniture and appliances. "
34000.0,Suvorovsky,2,4,12.0,48.0,Special project,Renovation,Block-brick,
45000.0,Suvorovsky,2,10,16.0,56.0,Special project,Renovation,Monolith,Renovated apartment. Equipped with built-in furniture and appliances. The bathroom is tiled with modern tiles. Clean front door. Convenient transport interchange.
28000.0,Primorsky,2,2,2.0,56.2,Old fund,Need. in cap. renovation,Shell rock,One-bedroom apartment in the city center. Zhvanetsky's yard. Apartment for renovation. Good location of the house.
25000.0,Suvorovsky,1,7,21.0,33.0,Special project,After builders,Monolith,One-room apartment in the residential complex Luzanovsky Park. House for rent first quarter 2021. Walking distance to the sea. supermarkets. Convenient transport interchange.
37000.0,Primorsky,2,2,3.0,44.7,Old fund,Residential clean,Shell rock,"Living condition, front door is renovated, vestibule and courtyard are closed. "
40000.0,Suvorovsky,3,8,9.0,70.0,Special project,Residential clean,Block-brick,
32000.0,Suvorovsky,3,3,10.0,65.0,Czech,Residential clean,Block-brick,"For sale 3 apartment on Vysotsky. There is 1 balcony and a large loggia. The apartment is in a residential condition. Metal-plastic windows. By agreement, everything you need remains in the apartment. The house is serviced by the condominium ""Cozy yard"". Near a school, a kindergarten, a stadium, developed supermarkets, the final transport route 145. Developed infrastructure. "
125000.0,Kievsky,3,19,24.0,90.0,New ,After builders,Brick,"LCD ""Omega"". "
51000.0,Malinovsky,2,8,24.0,42.0,New ,Renovation,Monolith,"Residential complex Mikhailovsky town. The apartment is spacious, a kitchen-studio and a bedroom. A high-quality design renovation was carried out, expensive finishing materials were used. In the design, every little thing is thought out, which gave harmony and comfort throughout the apartment. The apartment is fully equipped with all furniture and appliances (everything is completely new and under warranty). Spacious balcony from the kitchen. Two lifts. Guarded territory, concierge. Excellent location. Near shops, kindergarten, school, pharmacies, restaurants, cafes, park. "
26300.0,Kievsky,1,6,24.0,38.0,New ,After builders,Brick,ZhK Tairovskie sady. Kitchen-studio and bedroom. Balcony with panoramic glazing. Condition from builders
45000.0,Primorsky,2,3,3.0,48.0,Old fund,Need. in cap. renovation,Shell rock,Apartment for renovation. Ceiling height 5m. Balcony 4 meters. Working fireplace. Guarded parking place. The entrance to the courtyard is through a door with a combination lock. The entrance to the entrance is through a door with a combination lock. House of the 19th century.
55000.0,Primorsky,3,5,5.0,58.0,Khrushchevka,After makeup,Block-brick,"After renovation, built-in kitchen, air conditioners, igos, column, cladding. "
25000.0,Malinovsky,2,1,1.0,40.0,Old fund,Residential clean,Shell rock,"2-bedroom apartment with furniture, clean and comfortable. Ground floor, courtyard. "
49500.0,Primorsky,3,3,5.0,61.0,Special project,After makeup,Block-brick,"Apartment with cosmetic repairs. Built in furniture. large glazed balcony. The bathroom is tiled. Within walking distance of a school, a park. "
19000.0,Suvorovsky,1,3,5.0,21.0,Guest,Residential clean,Panel,The apartment is in a residential condition. The balcony is glazed. The bathroom has new tiles. The house is located in the second row from the road.
150000.0,Primorsky,,2,4.0,150.0,Belgian,Renovation,Shell rock,"a luxurious apartment in a prestigious center, a magnificent house and a courtyard, a front door with a marble staircase, two entrances (from the front front door and from the yard), an elevator in the house, a real ""highlight"" for connoisseurs of old Odessa! It is possible for both housing and office. Double-circuit boiler, ""native parquet"" and molding on the ceilings, alarm, air conditioning. "
72000.0,Kievsky,3,4,16.0,95.0,New ,Renovation,Aerated concrete,"Lcd Raduzhny. A heating meter is installed. New metal-plastic windows and an armored door. An expensive high-quality repair has been made in the apartment. The bathroom and the bathroom are tiled, there is a shower and a bath. built-in kitchen and appliances, 3 separate rooms: 2 balconies are insulated and glazed, "
145000.0,Primorsky,3,20,24.0,107.0,New ,Renovation,Brick,"32 Pearl, Apartment after renovation! Panoramic sea view! "
54000.0,Kievsky,1,4,6.0,45.0,New ,Renovation,Brick,"LCD Park Sauvignon is the very first house. 2-loop boiler Bosch! Air conditioner. German plumbing, Tiles Spain, German wallpaper! Wooden doors. Laminate German 10 mm! Kitchen to order with expensive fittings! The repair was done for yourself! "
19900.0,Suvorovsky,1,1,1.0,24.0,Special project,After overhaul,Shell rock,"1 room independent apartment. After renovation! Correct layout. New plumbing and sewerage pipes, new plumbing. New interior and entrance doors. New power supply, new copper wiring. Toilet shower combined, tiled with modern tiles. Quiet courtyard apartment. Good transport interchange. "
40000.0,Malinovsky,2,3,4.0,49.0,New ,Renovation,Brick,"Own uevrorepair, all furniture (to order), 2 air conditioners, built-in kitchen, appliances. "
150000.0,Primorsky,4,4,12.0,141.0,Special project,Renovation,Brick,"""Little Red Riding Hood"". Red brick house with 64 cm thick walls. Own roof boiler room. Landscaped courtyard, concierge, freight elevator. Renovation. "
19500.0,Suvorovsky,2,5,5.0,43.0,Special project,After builders,Blocky,For renovation. Overhaul of the roof in 2019. Changed pipes.
38000.0,Primorsky,1,9,11.0,40.0,New ,After builders,Brick,"New house of ""Santorini"" residential complex of the Hephaestus company in a park area 5 minutes from the beach at the 10th station. B. Fontana, infrastructure. The house is leased. Courtyard view. "
65000.0,Primorsky,1,2,25.0,40.0,New ,Renovation,Brick,"44 Zhemchuzhina, renovated apartment in an elite area in the center of Arcadia! With a developed infrastructure, close to beaches, restaurants, cinemas and entertainment centers, a protected area, playgrounds, fountains and recreation areas. "
17400.0,Primorsky,1,2,2.0,15.0,Old fund,After overhaul,Shell rock,"After overhaul, appliances, furniture. "
27000.0,Malinovsky,1,1,5.0,31.0,Khrushchevka,After overhaul,Panel,"After overhaul, built-in kitchen, appliances, furniture. Convenient transport interchange. Near school and kindergarten. "
75000.0,Primorsky,3,3,9.0,80.0,Special project,After overhaul,Brick,"After renovation, built-in kitchen, furniture and appliances, igos, cladding, alarm, interfloor storage room "
25000.0,Malinovsky,1,9,11.0,33.0,New ,After overhaul,Monolith,"Apartment in a new building, after overhaul, facing, built-in kitchen, wardrobe, air conditioner, household appliances. "
